name,subdistric,district,state,censusname,lgd_villag
Kharagpur Rly Settlement,Kharagpur - I,Medinipur West,West Bengal,Kharagpur Rly. Settlement (CT),Kharagpur Rly. Settlement (CT)
Medinipur,Midnapore,Medinipur West,West Bengal,Medinipur (M),Medinipur
Jaygaon,Kalchini,Alipurduar,West Bengal,Jaygaon (CT),Jaygaon (CT)
Mechiabasti,Kalchini,Alipurduar,West Bengal,Mechiabasti (CT),Mechiabasti (CT)
Uttar Satali,Kalchini,Alipurduar,West Bengal,Uttar Satali (CT),Uttar Satali (CT)
Jagijhora Barabak,Falakata,Alipurduar,West Bengal,Jagijhora Barabak (CT),Jagijhora Barabak (CT)
Uttar Latabari,Kalchini,Alipurduar,West Bengal,Uttar Latabari (CT),Uttar Latabari (CT)
Jateshwar,Falakata,Alipurduar,West Bengal,Jateshwar (CT),Jateshwar (CT)
Paschim Jitpur,Alipurduar - I,Alipurduar,West Bengal,Paschim Jitpur (CT),Paschim Jitpur (CT)
Samuktola,Alipurduar - II,Alipurduar,West Bengal,Samuktola (CT),Samuktola (CT)
Parangarpar,Falakata,Alipurduar,West Bengal,Parangarpar (CT),Parangarpar (CT)
Chechakhata,Alipurduar - I,Alipurduar,West Bengal,Chechakhata (CT),Chechakhata (CT)
Falakata,Falakata,Alipurduar,West Bengal,Falakata (CT),Falakata (CT)
Alipurduar Rly Jnc,Alipurduar - I,Alipurduar,West Bengal,Alipurduar Rly.Jnc. (CT),Alipurduar Rly.Jnc. (CT)
Bholar Dabri,Alipurduar - I,Alipurduar,West Bengal,Bholar Dabri (CT),Bholar Dabri (CT)
Alipurduar,Alipurduar - II,Alipurduar,West Bengal,Alipurduar (M),Alipurduar
Birpara,Alipurduar - I,Alipurduar,West Bengal,Birpara (CT),Birpara (CT)
Laskarpara,Kumargram,Alipurduar,West Bengal,Laskarpara (CT),Laskarpara (CT)
Sobhaganj,Alipurduar - II,Alipurduar,West Bengal,Sobhaganj (CT),Sobhaganj (CT)
Uttar Kamakhyaguri,Kumargram,Alipurduar,West Bengal,Uttar Kamakhyaguri (CT),Uttar Kamakhyaguri (CT)
Dakhin Rampur,Kumargram,Alipurduar,West Bengal,Dakhin Rampur (CT),Dakhin Rampur (CT)
Uttar Madarihat,Madarihat,Alipurduar,West Bengal,Uttar Madarihat (CT),Uttar Madarihat (CT)
Sisha Jumrha,Madarihat,Alipurduar,West Bengal,Sisha-Jumrha (CT),Sisha-Jumrha (CT)
Nagar Changrabandha,Mekliganj,Coochbehar,West Bengal,Nagar Changrabandha (CT),Nagar Changrabandha (CT)
Baneswar,Cooch Behar - II,Coochbehar,West Bengal,Baneswar (CT),Baneswar (CT)
Mekliganj,Mekliganj,Coochbehar,West Bengal,Mekliganj (M),Mekliganj
Khagrabari,Cooch Behar - II,Coochbehar,West Bengal,Khagrabari (CT),Khagrabari (CT)
Baisguri,Cooch Behar - II,Coochbehar,West Bengal,Baisguri (CT),Baisguri (CT)
Mathabhanga,Mathabhanga - I,Coochbehar,West Bengal,Mathabhanga (M),Mathabhanga
Haldibari,Haldibari,Coochbehar,West Bengal,Haldibari (M),Haldibari
Takagach,Cooch Behar - II,Coochbehar,West Bengal,Takagach (CT),Takagach (CT)
Chakchaka,Cooch Behar - II,Coochbehar,West Bengal,Chakchaka (CT),Chakchaka (CT)
Chhota Laukuthi,Tufanganj - II,Coochbehar,West Bengal,Chhota Laukuthi (CT),Chhota Laukuthi (CT)
Koch Bihar,Cooch Behar - I,Coochbehar,West Bengal,Koch Bihar (M),Koch Bihar
Kharimala Khagrabari,Cooch Behar - I,Coochbehar,West Bengal,Kharimala Khagrabari (CT),Kharimala Khagrabari (CT)
Tufanganj,Tufanganj - I,Coochbehar,West Bengal,Tufanganj (M),Tufanganj
Guriahati,Cooch Behar - I,Coochbehar,West Bengal,Guriahati (CT),Guriahati (CT)
Kamat Phulbari P,Tufanganj - I,Coochbehar,West Bengal,Kamat Phulbari (P) (CT),Kamat Phulbari (P) (CT)
Dhaliabari,Cooch Behar - I,Coochbehar,West Bengal,Dhaliabari (CT),Dhaliabari (CT)
Dinhata,Dinhata - I,Coochbehar,West Bengal,Dinhata (M),Dinhata
Bhangri Pratham Khanda,Dinhata - I,Coochbehar,West Bengal,Bhangri Pratham Khanda (CT),Bhangri Pratham Khanda (CT)
